user_id,item_id,relevance,predicted_score
1,364,0,0.006627938244491816
1,48,1,0.0041465964168310165
1,2096,0,0.0037782201543450356
1,2085,0,0.0030096108093857765
1,3615,0,0.002778146881610155
1,2081,0,0.002684156410396099
1,1282,0,0.0020209394861012697
1,2139,0,0.0017195458058267832
1,2394,0,0.0017077082302421331
1,3213,0,0.0015676238108426332
2,208,0,0.004819368943572044
2,1876,0,0.0036486475728452206
2,329,0,0.002837664447724819
2,1049,0,0.0017526681767776608
2,2273,0,0.0017001121304929256
2,517,0,0.0016127730486914515
2,288,0,0.0015309687005355954
2,3697,0,0.001282370532862842
2,316,0,0.0011208922369405627
2,1769,0,0.0010206949664279819
3,2174,0,0.01268888171762228
3,2918,0,0.011864698491990566
3,1883,0,0.009887573309242725
3,1923,0,0.00908482912927866
3,1042,0,0.007979628629982471
3,2791,0,0.007937966845929623
3,2797,0,0.004907040391117334
3,2683,0,0.004734031390398741
3,2395,0,0.004497535061091185
3,367,0,0.004398738965392113
4,1610,0,0.046525705605745316
4,1291,0,0.033485908061265945
4,3703,0,0.020275799557566643
4,2571,0,0.019319094717502594
4,2944,0,0.018127618357539177
4,1287,0,0.016152486205101013
4,2948,0,0.015039063058793545
4,3104,0,0.01501903124153614
4,589,0,0.012466798536479473
4,1127,0,0.01238840352743864
5,832,0,0.004988397937268019
5,1339,0,0.00393117219209671
5,1732,0,0.0030645120423287153
5,587,0,0.0029025026597082615
5,1399,0,0.0028635417111217976
5,1620,0,0.002815053565427661
5,1589,0,0.0027000338304787874
5,1343,0,0.0024517078418284655
5,3358,0,0.0021480845753103495
5,3259,0,0.002053193049505353
6,3555,0,0.072926826775074
6,3513,0,0.04673929139971733
6,3510,0,0.04138202965259552
6,3173,0,0.030602924525737762
6,3481,0,0.0296480655670166
6,3911,0,0.015871280804276466
6,3948,0,0.014972727745771408
6,3301,0,0.01414272841066122
6,3623,0,0.013817538507282734
6,3566,0,0.012698854319751263
7,165,0,0.004925610031932592
7,1049,0,0.004430027212947607
7,1370,0,0.004264547023922205
7,1356,0,0.003995523788034916
7,2273,0,0.003953636158257723
7,2490,0,0.0033069720957428217
7,1527,0,0.003018602728843689
7,2006,0,0.0030020764097571373
7,112,0,0.002588736591860652
7,1608,0,0.002400097204372287
8,588,0,0.01133898738771677
8,2700,0,0.010997389443218708
8,3114,0,0.009183796122670174
8,3005,0,0.008926628157496452
8,3052,0,0.006897632032632828
